COUNTY,YEAR,TOTAL,WHITE,HISPANIC,ASIAN,PACIFIC_ISLANDER,BLACK,AMERICAN_INDIAN,MULTIRACE,WHITE_%,HISPANIC_%,ASIAN_%,PACIFIC_ISLANDER_%,BLACK_%,AMERICAN_INDIAN_%,MULTIRACE_%
Alameda,2000,1453078,607009,275632,299159,9228,215010,5513,41527,41.7740135078778%,18.9688371856156%,20.5879519199933%,0.63506570191001%,14.7968656878708%,0.37940151870719%,2.85786447802527%
Alameda,2001,1477719,605273,288384,311741,9475,213846,5881,43119,40.9599524672824%,19.515482984248%,21.0960947243691%,0.64119091654097%,14.471357544973%,0.39797823537493%,2.9179431272116%
Alameda,2002,1488072,600923,297236,319768,9689,209706,6111,44639,40.3826562155595%,19.9745711229027%,21.4887451682445%,0.65111096774887%,14.0924632679064%,0.41066561295421%,2.99978764468386%
Alameda,2003,1492779,595653,304923,325825,9839,204069,6276,46194,39.9022896222415%,20.4265333314576%,21.8267405958953%,0.65910627092155%,13.6704093506139%,0.42042392075451%,3.09449690811567%
Alameda,2004,1497316,590323,312586,331872,10015,198363,6447,47710,39.4254118703066%,20.8764215436154%,22.164459606389%,0.66886348639833%,13.2479049178664%,0.43057043402996%,3.18636814139434%
Alameda,2005,1500324,583637,320230,337716,10177,192672,6610,49282,38.9007307754858%,21.344056350495%,22.509537939805%,0.67832014951437%,12.8420261223576%,0.44057150322197%,3.2847571591203%
Alameda,2006,1510695,578921,329201,346888,10451,188954,6890,49390,38.3215010309824%,21.7913609299031%,22.9621465616819%,0.69180079367443%,12.5077530540579%,0.45608147243487%,3.26935615726536%
Alameda,2007,1520763,572834,337923,354553,10729,188107,7157,49460,37.6675392549661%,22.2206221482243%,23.3141521722977%,0.70550112016139%,12.3692514875756%,0.47061902479216%,3.25231479198271%
Alameda,2008,1530697,566691,346698,362104,11001,187250,7419,49534,37.0217619816332%,22.6496818116192%,23.6561514133757%,0.71869220361704%,12.2329892852733%,0.48468116158848%,3.23604214289307%
Alameda,2009,1540499,560471,355542,369549,11271,186379,7682,49605,36.3824319262784%,23.0796644463904%,23.9889152800489%,0.73164604456089%,12.0986122029291%,0.49866958693255%,3.22006051285979%
Alameda,2010,1550133,554155,364470,376874,11539,185484,7935,49676,35.7488680003587%,23.5121760519904%,24.3123654550932%,0.74438773963266%,11.9656829446248%,0.51189156027257%,3.20462824802775%
Alameda,2011,1561884,549671,373883,384256,11817,184089,8221,49947,35.1928184167326%,23.9379492971309%,24.6020831252513%,0.75658627657368%,11.7863426477254%,0.52635150881884%,3.19786872776724%
Alameda,2012,1573537,545135,383384,391536,12100,182664,8502,50216,34.6439263900372%,24.3644731582416%,24.8825416879298%,0.76896825432132%,11.6084972898635%,0.54031141307767%,3.19128180652886%
Alameda,2013,1585115,540547,392983,398725,12379,181207,8785,50489,34.1014374351388%,24.7920813316384%,25.1543263422528%,0.78095280153175%,11.4317888607451%,0.55421846364459%,3.18519476504859%
Alameda,2014,1596578,535905,402685,405816,12660,179696,9063,50753,33.5658514648204%,25.221755529639%,25.417862453322%,0.79294591307158%,11.2550717847797%,0.56765156478418%,3.1788612895831%
Alameda,2015,1607911,531200,412491,412803,12942,178124,9337,51014,33.0366543919408%,25.6538452687991%,25.6732493278546%,0.80489529582172%,11.0779763307795%,0.58069134423485%,3.17268804056941%
Alameda,2016,1619175,526433,422399,419721,13219,176512,9616,51275,32.5124214491948%,26.0872975435021%,25.9219046736764%,0.81640341531953%,10.9013540846419%,0.59388268717094%,3.16673614649436%
Alameda,2017,1630375,521609,432404,426587,13492,174853,9889,51541,31.9931917503642%,26.5217511308748%,26.1649620486084%,0.8275396764548%,10.724710572721%,0.60654757341103%,3.16129724756574%
Alameda,2018,1641505,516719,442508,433408,13765,173137,10159,51809,31.4783689358241%,26.9574567241647%,26.4030874106384%,0.83855973633952%,10.5474549270334%,0.61888328089162%,3.15618898510818%
Alameda,2019,1652551,511754,452715,440169,14041,171366,10427,52079,30.9675162824022%,27.3949185229382%,26.6357286401448%,0.84965607718007%,10.3697858643999%,0.63096388553213%,3.15143072740266%
Alameda,2020,1663481,506702,463001,446882,14309,169536,10691,52360,30.4603418975029%,27.8332604941084%,26.8642683625482%,0.86018415599577%,10.1916403012719%,0.64268843467404%,3.14761635389884%
Alameda,2021,1676832,502022,473461,454491,14593,168524,10990,52751,29.9387177725616%,28.2354463655274%,27.1041463903361%,0.87027203679319%,10.0501421728593%,0.65540256865327%,3.14587269326921%
Alameda,2022,1690135,497238,483994,462104,14878,167485,11286,53150,29.4200167442246%,28.6364107009203%,27.3412478884823%,0.88028471098463%,9.90956343724022%,0.66775730932736%,3.1447192088206%
Alameda,2023,1703348,492333,494609,469709,15159,166401,11585,53552,28.9038411410939%,29.0374603428072%,27.5756333996341%,0.88995319805465%,9.7690548261424%,0.68013112998636%,3.14392596228134%
Alameda,2024,1716423,487287,505291,477302,15440,165266,11881,53956,28.3896801662527%,29.4386057516125%,27.807947108609%,0.89954515874001%,9.62851231893304%,0.69219533879469%,3.14351415705802%
Alameda,2025,1729326,482088,516032,484868,15719,164079,12178,54362,27.8772192171979%,29.8400648576382%,28.0379754887164%,0.90896684604291%,9.48803175341144%,0.70420499084614%,3.143536846147%
Alameda,2026,1742108,476747,526812,492458,16000,162858,12475,54758,27.3660990018988%,30.2399162394065%,28.2679374642674%,0.91842756017423%,9.34832972467838%,0.71608648832334%,3.14320352125127%
Alameda,2027,1754748,471257,537620,500063,16283,161608,12774,55143,26.8561069737649%,30.6380175387007%,28.4977102125205%,0.92793951040263%,9.20975547486021%,0.72796777656963%,3.14250251318138%
Alameda,2028,1767245,465618,548452,507681,16568,160330,13071,55525,26.3471108986021%,31.0342934907158%,28.7272562661091%,0.93750442072265%,9.07231312013897%,0.73962580174226%,3.14189600196917%
Alameda,2029,1779577,459833,559311,515290,16857,159031,13366,55889,25.8394551064663%,31.4294351972407%,28.9557574637119%,0.94724757624986%,8.93644950457328%,0.75107736276655%,3.14057778899143%
Alameda,2030,1791721,453896,570180,522885,17148,157712,13657,56243,25.3329619957572%,31.8230349479634%,29.1833940663753%,0.95706865075534%,8.80226329880601%,0.76222804778199%,3.13904899256078%
Alameda,2031,1805397,447795,581557,531039,17450,156967,13907,56682,24.8031319427251%,32.2121394906494%,29.4139737686503%,0.96654641610682%,8.69432041816841%,0.7703014904755%,3.13958647322445%
Alameda,2032,1818977,441585,592966,539202,17758,156211,14157,57098,24.2765576475129%,32.5988728829446%,29.6431455702848%,0.97626303136323%,8.58784910419428%,0.77829461285107%,3.13901715084908%
Alameda,2033,1832440,435283,604384,547368,18072,155432,14406,57495,23.7542839056122%,32.9824714588199%,29.8709916832202%,0.98622601558578%,8.48224225622667%,0.78616489489424%,3.137619785641%
Alameda,2034,1845798,428891,615815,555542,18388,154642,14654,57866,23.2360745867099%,33.3630765663415%,30.0976596572323%,0.99620868589087%,8.37805653706419%,0.79391135974792%,3.13501260701334%
Alameda,2035,1859035,422417,627260,563699,18710,153835,14901,58213,22.7223801595989%,33.7411614090106%,30.3221294919138%,1.00643613487643%,8.27499213301525%,0.80154488753574%,3.13135578404925%
Alameda,2036,1872137,415880,638718,571824,19033,153016,15146,58520,22.2141862481218%,34.1170544677019%,30.54391852733%,1.01664568351568%,8.17333346865107%,0.80902198930954%,3.12583961537003%
Alameda,2037,1885106,409290,650183,579904,19357,152193,15385,58794,21.7117764199997%,34.490527323132%,30.7624080555682%,1.02683880906432%,8.07344520679474%,0.81613447731852%,3.11886970812251%
